"departure_port","group","value"
"Alice Springs","Departure",786.16
"Alice Springs","Arrival",604.73
"Brisbane","Departure",378.98
"Brisbane","Arrival",341.13
"Cairns","Departure",361.34
"Cairns","Arrival",358.44
"Canberra","Departure",319.43
"Canberra","Arrival",469.54
"Darwin","Departure",640.03
"Darwin","Arrival",581.3
"Proserpine","Departure",150.12
"Proserpine","Arrival",301.8
"Hamilton Island","Departure",441.38
"Hamilton Island","Arrival",422.56
"Hobart","Departure",221.11
"Hobart","Arrival",422.67
"Melbourne","Departure",296.2
"Melbourne","Arrival",322.59
"Newcastle","Departure",230.94
"Newcastle","Arrival",185.7
"Perth","Departure",676.52
"Perth","Arrival",635.82
"Gold Coast","Departure",334.63
"Gold Coast","Arrival",261.47
"Sydney","Departure",348.33
"Sydney","Arrival",324.43
