"","yyyy.mm","TotalValue"
"1",2010-01-01,331.375
"2",2010-02-01,381.013888888889
"3",2010-03-01,387.027777777778
"4",2010-04-01,328.569444444444
"5",2010-05-01,348.861111111111
"6",2010-06-01,390.375
"7",2010-07-01,372.444444444444
"8",2010-08-01,369.583333333333
"9",2010-09-01,421.444444444444
"10",2010-10-01,365.416666666667
"11",2010-11-01,351.25
"12",2010-12-01,435.319444444444
"13",2011-01-01,326.486111111111
"14",2011-02-01,352.083333333333
"15",2011-03-01,375.972222222222
"16",2011-04-01,408.027777777778
"17",2011-05-01,366.513888888889
"18",2011-06-01,411.760563380282
"19",2011-07-01,405.802816901408
"20",2011-08-01,406.12676056338
"21",2011-09-01,496.225352112676
"22",2011-10-01,443
"23",2011-11-01,421.619718309859
"24",2011-12-01,503.338028169014
"25",2012-01-01,363.830985915493
"26",2012-02-01,395.112676056338
"27",2012-03-01,418.014084507042
"28",2012-04-01,340.814285714286
"29",2012-05-01,366.471428571429
"30",2012-06-01,434.371428571429
"31",2012-07-01,365.342857142857
"32",2012-08-01,396.914285714286
"33",2012-09-01,427.071428571429
"34",2012-10-01,390.985714285714
"35",2012-11-01,381
"36",2012-12-01,501.457142857143
"37",2013-01-01,349.014285714286
"38",2013-02-01,377.742857142857
"39",2013-03-01,414.471428571429
"40",2013-04-01,365.661971830986
"41",2013-05-01,346.028169014084
"42",2013-06-01,390.830985915493
"43",2013-07-01,362.197183098592
"44",2013-08-01,359.87323943662
"45",2013-09-01,434.830985915493
"46",2013-10-01,357.535211267606
"47",2013-11-01,363.732394366197
"48",2013-12-01,438.295774647887
"49",2014-01-01,346.87323943662
"50",2014-02-01,365.478873239437
"51",2014-03-01,371.43661971831
"52",2014-04-01,403.2
"53",2014-05-01,314.271428571429
"54",2014-06-01,363.542857142857
"55",2014-07-01,368.285714285714
"56",2014-08-01,360.5
"57",2014-09-01,396.157142857143
"58",2014-10-01,383.842857142857
"59",2014-11-01,388.357142857143
"60",2014-12-01,419.742857142857
"61",2015-01-01,382.357142857143
"62",2015-02-01,404.642857142857
"63",2015-03-01,410.157142857143
"64",2015-04-01,360.428571428571
"65",2015-05-01,381.442857142857
"66",2015-06-01,408.271428571429
"67",2015-07-01,400.271428571429
"68",2015-08-01,390.971428571429
"69",2015-09-01,430.442857142857
"70",2015-10-01,397.757142857143
"71",2015-11-01,391.314285714286
"72",2015-12-01,373.4
"73",2016-01-01,352.785714285714
"74",2016-02-01,379.885714285714
"75",2016-03-01,354.157142857143
"76",2016-04-01,374.485714285714
"77",2016-05-01,356.242857142857
"78",2016-06-01,383.442857142857
"79",2016-07-01,379.357142857143
"80",2016-08-01,367.257142857143
"81",2016-09-01,428.314285714286
"82",2016-10-01,389.714285714286
"83",2016-11-01,383.428571428571
"84",2016-12-01,435.585714285714
"85",2017-01-01,365.271428571429
"86",2017-02-01,379.471428571429
"87",2017-03-01,461.657142857143
"88",2017-04-01,372.457142857143
"89",2017-05-01,381.671428571429
"90",2017-06-01,384.042857142857
"91",2017-07-01,388.585714285714
"92",2017-08-01,376.542857142857
"93",2017-09-01,432.914285714286
"94",2017-10-01,392.585714285714
"95",2017-11-01,395.685714285714
"96",2017-12-01,462.114285714286
"97",2018-01-01,378.2
"98",2018-02-01,399.685714285714
"99",2018-03-01,453.885714285714
"100",2018-04-01,387.671428571429
"101",2018-05-01,391.928571428571
"102",2018-06-01,441.228571428571
"103",2018-07-01,418.471428571429
"104",2018-08-01,394.057142857143
"105",2018-09-01,447.142857142857
"106",2018-10-01,420
"107",2018-11-01,406.614285714286
"108",2018-12-01,495.171428571429
"109",2019-01-01,380.314285714286
"110",2019-02-01,361.742857142857
"111",2019-03-01,385.828571428571
"112",2019-04-01,429.714285714286
"113",2019-05-01,360.157142857143
"114",2019-06-01,400.442857142857
"115",2019-07-01,399.757142857143
"116",2019-08-01,371.2
"117",2019-09-01,409.585714285714
"118",2019-10-01,376.571428571429
"119",2019-11-01,377.557142857143
"120",2019-12-01,473.485714285714
"121",2020-01-01,354.4
"122",2020-02-01,369.1
"123",2020-03-01,473.128571428571
"124",2020-04-01,480.257142857143
"125",2020-05-01,455.486486486487
"126",2020-06-01,464.105263157895
"127",2020-07-01,408.555555555556
"128",2020-08-01,434.963636363636
"129",2020-09-01,429.915254237288
"130",2020-10-01,401.602941176471
"131",2020-11-01,420.796875
"132",2020-12-01,434.9
"133",2021-01-01,360.885714285714
"134",2021-02-01,357.571428571429
"135",2021-03-01,391.071428571429
"136",2021-04-01,366.214285714286
"137",2021-05-01,396.342857142857
"138",2021-06-01,404.5
"139",2021-07-01,336.028571428571
"140",2021-08-01,348.292307692308
"141",2021-09-01,372.677419354839
"142",2021-10-01,337.546875
"143",2021-11-01,333.015384615385
"144",2021-12-01,333.057142857143
"145",2022-01-01,303.2
"146",2022-02-01,321.9
"147",2022-03-01,408.857142857143
"148",2022-04-01,300.214285714286
"149",2022-05-01,355.242857142857
"150",2022-06-01,392.328571428571
"151",2022-07-01,409.514285714286
"152",2022-08-01,432.442857142857
"153",2022-09-01,556.242857142857
"154",2022-10-01,477.957142857143
"155",2022-11-01,513.571428571429
"156",2022-12-01,588.242857142857
"157",2023-01-01,407.657142857143
"158",2023-02-01,410.385714285714
"159",2023-03-01,423.257142857143
"160",2023-04-01,378.571428571429
"161",2023-05-01,393.1
"162",2023-06-01,427.685714285714
"163",2023-07-01,404.342857142857
"164",2023-08-01,398.585714285714
"165",2023-09-01,425.642857142857
"166",2023-10-01,402.657142857143
"167",2023-11-01,450.913043478261
"168",2023-12-01,498.4
"169",2024-01-01,383.671428571429
"170",2024-02-01,394.642857142857
"171",2024-03-01,466.014285714286
