"","departure_port","TotalValue"
"1","Adelaide",395.80658436214
"2","Albury",313.649122807018
"3","Alice Springs",786.161111111111
"4","Armidale",362.3359375
"5","Avalon",198.214574898785
"6","Ayers Rock",681.26404494382
"7","Ballina",184.105882352941
"8","Brisbane",378.977938517179
"9","Broome",661.239766081871
"10","Bundaberg",360.816568047337
"11","Cairns",361.337480559876
"12","Canberra",319.429824561404
"13","Coffs Harbour",228.111764705882
"14","Darwin",640.033932135728
"15","Devonport",406.79012345679
"16","Dubbo",381.116959064327
"17","Geraldton",423.340909090909
"18","Gold Coast",150.122807017544
"19","Hamilton Island",441.378881987578
"20","Hervey Bay",393.176470588235
"21","Hobart",221.106194690265
"22","Kalgoorlie",526.017543859649
"23","Karratha",742.865497076023
"24","Launceston",211.346153846154
"25","Melbourne",296.200657894737
"26","Newcastle",230.944444444444
"27","Paraburdoo",827.355029585799
"28","Perth",676.520467836257
"29","Port Macquarie",307.715976331361
"30","Proserpine",334.625
"31","Sunshine Coast",283.924698795181
"32","Sydney",348.334653465347
