"Year","Month_num","PLF"
2010,"Jan",4104.7
2010,"Feb",4145.1
2010,"Mar",4202.3
2010,"Apr",4162.2
2010,"May",3894.9
2010,"Jun",3981.1
2010,"Jul",4141.2
2010,"Aug",4153.2
2010,"Sep",4353.1
2010,"Oct",4382.7
2010,"Nov",4293.4
2010,"Dec",4213.1
2011,"Jan",4064.8
2011,"Feb",4032.3
2011,"Mar",4189.5
2011,"Apr",4164.9
2011,"May",4070.2
2011,"Jun",4130
2011,"Jul",4180.9
2011,"Aug",4136.1
2011,"Sep",4241.3
2011,"Oct",4337
2011,"Nov",4284.7
2011,"Dec",4162.1
2012,"Jan",4113.2
2012,"Feb",4056
2012,"Mar",4199.9
2012,"Apr",4209.8
2012,"May",4237.9
2012,"Jun",4297.7
2012,"Jul",4290.7
2012,"Aug",4220.6
2012,"Sep",4416.8
2012,"Oct",4444.6
2012,"Nov",4424.1
2012,"Dec",4228.6
2013,"Jan",4154.4
2013,"Feb",4115.1
2013,"Mar",4201.8
2013,"Apr",4199.5
2013,"May",4267.9
2013,"Jun",4444.5
2013,"Jul",4575.3
2013,"Aug",4581.2
2013,"Sep",4582.1
2013,"Oct",4837.1
2013,"Nov",4703.3
2013,"Dec",4620.9
2014,"Jan",4544.2
2014,"Feb",4488.5
2014,"Mar",4503.6
2014,"Apr",4522.2
2014,"May",4474.9
2014,"Jun",4525.3
2014,"Jul",4710.7
2014,"Aug",4505.4
2014,"Sep",4534.6
2014,"Oct",4707.3
2014,"Nov",4642.2
2014,"Dec",4501.1
2015,"Jan",4356
2015,"Feb",4389.8
2015,"Mar",4484.9
2015,"Apr",4608.6
2015,"May",4487.5
2015,"Jun",4545.7
2015,"Jul",4853.5
2015,"Aug",4725.5
2015,"Sep",4813
2015,"Oct",4900.6
2015,"Nov",4833.1
2015,"Dec",4726.9
2016,"Jan",4581.3
2016,"Feb",4513.1
2016,"Mar",4699.7
2016,"Apr",4768
2016,"May",4739.3
2016,"Jun",4751.1
2016,"Jul",4898
2016,"Aug",4692.5
2016,"Sep",4853.1
2016,"Oct",4952.7
2016,"Nov",4912.1
2016,"Dec",4797.5
2017,"Jan",4706.9
2017,"Feb",4647.5
2017,"Mar",4807.2
2017,"Apr",4751.8
2017,"May",4680.1
2017,"Jun",4717.1
2017,"Jul",4935
2017,"Aug",4689.3
2017,"Sep",5054.2
2017,"Oct",5057.6
2017,"Nov",5008.3
2017,"Dec",4892.4
2018,"Jan",4721.2
2018,"Feb",4744.5
2018,"Mar",4959.8
2018,"Apr",4873.5
2018,"May",4828
2018,"Jun",4843.7
2018,"Jul",5065.6
2018,"Aug",4940.6
2018,"Sep",4930.7
2018,"Oct",4951.8
2018,"Nov",4979.2
2018,"Dec",4739.3
2019,"Jan",4580.2
2019,"Feb",4615
2019,"Mar",4715.1
2019,"Apr",4778.5
2019,"May",4673
2019,"Jun",4714.4
2019,"Jul",4912.9
2019,"Aug",4907.4
2019,"Sep",4894.4
2019,"Oct",5024.1
2019,"Nov",5063.2
2019,"Dec",4884.7
2020,"Jan",4825.6
2020,"Feb",4397.1
2020,"Mar",3702.4
2020,"Apr",605.2
2020,"May",881
2020,"Jun",1303.8
2020,"Jul",1717.7
2020,"Aug",1236.2
2020,"Sep",1326.4
2020,"Oct",1777.9
2020,"Nov",2122.6
2020,"Dec",2875.5
2021,"Jan",2326.9
2021,"Feb",2731.7
2021,"Mar",3432
2021,"Apr",3765.3
2021,"May",3640.7
2021,"Jun",3187.6
2021,"Jul",2144.2
2021,"Aug",1513
2021,"Sep",1903.7
2021,"Oct",1967.4
2021,"Nov",2349.5
2021,"Dec",3049.7
2022,"Jan",2606.1
2022,"Feb",3282.2
2022,"Mar",3688.9
2022,"Apr",4285.1
2022,"May",4298.5
2022,"Jun",4561.8
2022,"Jul",4949.2
2022,"Aug",4747.2
2022,"Sep",4900.6
2022,"Oct",4831.6
2022,"Nov",4769.7
2022,"Dec",4489.4
2023,"Jan",4400.6
2023,"Feb",4466.3
2023,"Mar",4735.7
2023,"Apr",4615.1
2023,"May",4602.1
2023,"Jun",4639.8
2023,"Jul",4760.9
2023,"Aug",4738.4
2023,"Sep",4838.9
2023,"Oct",4840.7
2023,"Nov",4759.3
2023,"Dec",4521.6
2024,"Jan",4280.1
