"Year","Month_num","Total_RPKs"
2010,"Jan",4300302776
2010,"Feb",3945381487
2010,"Mar",4462572021
2010,"Apr",4456093179
2010,"May",4178494789
2010,"Jun",4215171259
2010,"Jul",4793966840
2010,"Aug",4589089052
2010,"Sep",4764066839
2010,"Oct",4999790653
2010,"Nov",4691214663
2010,"Dec",4890485421
2011,"Jan",4664275993
2011,"Feb",3972437143
2011,"Mar",4604948640
2011,"Apr",4663965150
2011,"May",4497952448
2011,"Jun",4241851990
2011,"Jul",4874971777
2011,"Aug",4666478460
2011,"Sep",4666740366
2011,"Oct",4852121997
2011,"Nov",4685542854
2011,"Dec",4770957056
2012,"Jan",4784221707
2012,"Feb",4187153538
2012,"Mar",4760671335
2012,"Apr",4751412693
2012,"May",4695714240
2012,"Jun",4670240931
2012,"Jul",5290136894
2012,"Aug",5072253974
2012,"Sep",5147654434
2012,"Oct",5453934895
2012,"Nov",5186607203
2012,"Dec",5173691423
2013,"Jan",5077740756
2013,"Feb",4342827176
2013,"Mar",4996970237
2013,"Apr",5048388440
2013,"May",4810552827
2013,"Jun",4819936623
2013,"Jul",5568354684
2013,"Aug",5260295474
2013,"Sep",5214631235
2013,"Oct",5662817835
2013,"Nov",5195494060
2013,"Dec",5456317891
2014,"Jan",5402180351
2014,"Feb",4542861941
2014,"Mar",5117101245
2014,"Apr",5280784883
2014,"May",4891549400
2014,"Jun",4851920449
2014,"Jul",5550249280
2014,"Aug",5217179176
2014,"Sep",5233131132
2014,"Oct",5719101725
2014,"Nov",5119871217
2014,"Dec",5373437310
2015,"Jan",5171132057
2015,"Feb",4462681729
2015,"Mar",5115466382
2015,"Apr",5176852902
2015,"May",4830573083
2015,"Jun",4816000374
2015,"Jul",5681134713
2015,"Aug",5205734097
2015,"Sep",5323665905
2015,"Oct",5673998527
2015,"Nov",5309801385
2015,"Dec",5551882481
2016,"Jan",5355160828
2016,"Feb",4725327221
2016,"Mar",5336067414
2016,"Apr",5208639994
2016,"May",4967033845
2016,"Jun",4976704530
2016,"Jul",5678565660
2016,"Aug",5270530061
2016,"Sep",5495564707
2016,"Oct",5671757189
2016,"Nov",5372254940
2016,"Dec",5626749829
2017,"Jan",5496816266
2017,"Feb",4563642931
2017,"Mar",5244800856
2017,"Apr",5318456887
2017,"May",4985753584
2017,"Jun",4979082651
2017,"Jul",5752412596
2017,"Aug",5308547261
2017,"Sep",5453182682
2017,"Oct",5828307763
2017,"Nov",5522372098
2017,"Dec",5704561592
2018,"Jan",5569004787
2018,"Feb",4732177240
2018,"Mar",5466246441
2018,"Apr",5442653250
2018,"May",5142570284
2018,"Jun",5030405660
2018,"Jul",5915260934
2018,"Aug",5486904767
2018,"Sep",5452526127
2018,"Oct",5844331226
2018,"Nov",5486819664
2018,"Dec",5538161138
2019,"Jan",5489114727
2019,"Feb",4655481660
2019,"Mar",5248789742
2019,"Apr",5492035628
2019,"May",5108404995
2019,"Jun",4988859901
2019,"Jul",5892216430
2019,"Aug",5516342343
2019,"Sep",5508913172
2019,"Oct",5988887697
2019,"Nov",5524692239
2019,"Dec",5683583726
2020,"Jan",5527287299
2020,"Feb",4512107707
2020,"Mar",3277390700
2020,"Apr",119266990
2020,"May",137462906
2020,"Jun",276629082
2020,"Jul",603258470
2020,"Aug",457965568
2020,"Sep",550469520
2020,"Oct",748361327
2020,"Nov",889512849
2020,"Dec",2018931988
2021,"Jan",1558967231
2021,"Feb",1346087850
2021,"Mar",2665940457
2021,"Apr",3415908953
2021,"May",3297945843
2021,"Jun",2308029496
2021,"Jul",1305836597
2021,"Aug",612293751
2021,"Sep",988863549
2021,"Oct",1057647756
2021,"Nov",1371297426
2021,"Dec",2265507982
2022,"Jan",2275810163
2022,"Feb",2087584665
2022,"Mar",3320681689
2022,"Apr",4730189331
2022,"May",4472890100
2022,"Jun",4833038364
2022,"Jul",5204509163
2022,"Aug",4777614398
2022,"Sep",5046628728
2022,"Oct",5235425787
2022,"Nov",4928745106
2022,"Dec",4996504762
2023,"Jan",4977084143
2023,"Feb",4167624896
2023,"Mar",5038115242
2023,"Apr",5011667649
2023,"May",4806300047
2023,"Jun",4771182700
2023,"Jul",5330225777
2023,"Aug",5121722638
2023,"Sep",5268929346
2023,"Oct",5512013739
2023,"Nov",5236616288
2023,"Dec",5184575891
2024,"Jan",5124085803
